"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"10614","Normal/Others","WS/MP192/2025-2026/195336-Installation of fixed garden gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM HABIBPUR ME BARAT GHAR KE PASS PARK YA MANDIR KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10615","Normal/Others","WS/MP192/2025-2026/195337-Installation of fixed garden gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM PATWARI ME BARAT GHAR KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10616","Normal/Others","WS/MP192/2025-2026/195338-Installation of fixed garden gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM SHAHDRA ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10617","Normal/Others","WS/MP192/2025-2026/195339-Installation of fixed garden gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM NALGADHA ME BHAGAT SINGH PARK KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10618","Normal/Others","WS/MP192/2025-2026/195340-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM MOHIYAPUR ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10619","Normal/Others","WS/MP192/2025-2026/195341-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM SHAFIPUR ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10620","Normal/Others","WS/MP192/2025-2026/195342-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM SAAKIPUR ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10621","Normal/Others","WS/MP192/2025-2026/195343-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM LAKHNAWALI ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10622","Normal/Others","WS/MP192/2025-2026/195344-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM TUGALPUR ME THANE PASS NOLING PARK KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10623","Normal/Others","WS/MP192/2025-2026/195345-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM SHAHBERI ME BARAT GHAR KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10624","Normal/Others","WS/MP192/2025-2026/195347-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM GAIBATPUR ME BARAT GHAR KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10625","Normal/Others","WS/MP192/2025-2026/195348-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM ROZA YAKUBPUR ME PRIMERY SCHOOL YA GREEN BAILT KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10626","Normal/Others","WS/MP192/2025-2026/195350-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM MILAK LACHCHHI ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10627","Normal/Others","WS/MP192/2025-2026/195353-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM SUNPURA ME PRIMERY SCHOOL SIDDH MANDIR KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10628","Normal/Others","WS/MP192/2025-2026/195354-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM BHOLA RAWAL ME PRIMERY SCHOOK SHIV MANDIR KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10629","Normal/Others","WS/MP192/2025-2026/195355-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM BHANAUTA ME NETAJI SUBHASH BOS COLLEGE KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10630","Normal/Others","WS/MP192/2025-2026/195356-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM KHEDI ME PRIMERY SCHOOL OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10631","Normal/Others","WS/MP192/2025-2026/195357-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM SURAJPUR ME BHARAI MELA MAIDAN ME OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10632","Normal/Others","WS/MP192/2025-2026/195358-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM KHODNA KAKRAIT ME OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10633","Normal/Others","WS/MP192/2025-2026/195359-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","KHODNA KHURD PURANA PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10634","Normal/Others","WS/MP192/2025-2026/195361-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM SURAJPUR ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10635","Normal/Others","WS/MP192/2025-2026/195362-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRM TILPATA ME BARAT GHAR JHIDI MANDIR KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10636","Normal/Others","WS/MP192/2025-2026/195363-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM DEVLA ME SHIV MANDIR KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10637","Normal/Others","WS/MP192/2025-2026/195364-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM KULESRA ME PRIMERY SCHOOL YA BARAT KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10638","Normal/Others","WS/MP192/2025-2026/195365-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM KHAIRPUR GURJAR ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10639","Normal/Others","WS/MP192/2025-2026/195366-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","BAIDPURA ME PRIMERY SCHOOL YA INTER COLLETE KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10640","Normal/Others","WS/MP192/2025-2026/195368-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM CHHOTI MILAK ME PRIMERY SCHOOL KE PASS  OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10641","Normal/Others","WS/MP192/2025-2026/195375-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM CHOGANPUR ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10642","Normal/Others","WS/MP192/2025-2026/195376-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM DAIRIN (KHERA CHOGANPUR) ME GATE KE PASS BARAT GHAR OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10643","Normal/Others","WS/MP192/2025-2026/195377-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","GRAM ETEDA ME PRIMERY SCHOOL KE PASS OPEN GYM AT PUBLIC PLACE","01-May-2025","798100","02-Dec-2025"
"10644","Trust and Society","WS/MP18403/2025-2026/195413-Construction of community centers and community halls","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Panchso Patanwada Rohit Samaj Educational Trust, To build a library and rooms in Mehsana","29-Apr-2025","1000000","04-Dec-2025"
"10645","Normal/Others","WS/MP18403/2025-2026/195416-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","For block road work from Dhanjibhai Ramjibhai Thummars house towards the water well","29-Apr-2025","500000","20-Aug-2025"
"10646","Normal/Others","WS/MP840/2025-2026/195432-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of compound wall at South side of dumping yard from Tharigopula Pranganam gate to summer BIT 1-BIT6","29-Apr-2025","2274612","04-Jun-2025"
"10647","Normal/Others","WS/MP840/2025-2026/195439-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","CC road at ST colony Hindu Burial ground west copound wall of east gate of challapalli village","29-Apr-2025","818442","04-Jun-2025"
"10648","Normal/Others","WS/MP840/2025-2026/195442-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","CC Road at ST  colont Hindu burial ground East gate to 6th canal of challapalli Village","29-Apr-2025","555815","04-Jun-2025"
"10649","Repair and Renovation","WS/MP840/2025-2026/195451-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing infrastructure facilities and Renovation to PR sub division at Makthal","29-Apr-2025","500000","26-Jan-2026"
"10650","Normal/Others","NA-Construction of community centers and community halls","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Anganwadi building at Vadukuppam Village in Nettapakkam constituency","29-Apr-2025","2700000","NA"
"10651","Normal/Others","WS/MP139/2025-2026/195496-Construction of rooms and halls in school and colleges","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of 2 classrooms at Government Primary School, Navarkulam in Kalapet constituency, Puducherry.","29-Apr-2025","3338000","12-Jan-2026"
"10652","Normal/Others","WS/MP107/2025-2026/195530-Construction of bus-sheds or bus-stops","Madhya Pradesh","SHIVPURI(District Collector Shivpuri_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Installation work of fabricated passenger Waiting room in Gram panchyat  Mudheri, Lalgarh,Bhangarh,Karsena, Tanpur, Bhaw khedi,Khorghar, Sikrawada, Kunwarpur,Khajuri Of Janpad Panchayat Shivpuri Of Shivpuri District","30-Apr-2025","2599420","12-Jun-2025"
"10653","Trust and Society","WS/MP18364/2025-2026/195531-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of School Rooms.","05-May-2025","600000","09-Jun-2025"
"10654","Normal/Others","WS/MP106/2025-2026/195560-Construction of toilet blocks","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram panchayat Bagdara, Vikaskhand Saikheda sthit Shaskiy Madhyamik Shala Bagdara, Tehsil Gadarwara, District Narsinghpur main Toilet Nirman hetu.","30-Apr-2025","100000","30-Jun-2025"
"10655","Normal/Others","WS/MP131/2025-2026/195649-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of CC Road at Kherpada to AWC, Rouldega","30-Apr-2025","400000","10-Dec-2025"
"10656","Normal/Others","WS/MP131/2025-2026/195650-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Patarfandi House to PWD Road at Rasti, KhurluTungri","30-Apr-2025","400000","10-Dec-2025"
"10657","Normal/Others","WS/MP131/2025-2026/195651-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Beheradihi Road to Kinjirkela College, Kinjirkela","30-Apr-2025","300000","10-Dec-2025"
"10658","Normal/Others","WS/MP131/2025-2026/195653-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Bhadra Bhoi House to Mandal House at Jhariadhipa, Subalaya","30-Apr-2025","400000","09-Jan-2026"
"10659","Normal/Others","WS/MP131/2025-2026/195654-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of CC Road at Thudkupada Road","30-Apr-2025","500000","08-Jul-2025"
"10660","Normal/Others","NA-Construction of public toilets and bathrooms","Telangana","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Toilet and providing Water Facility at  Primary Veterinary  Centre at Ingurthi","01-May-2025","499000","NA"
"10661","Normal/Others","WS/MP18304/2025-2026/195729-Lighting of public spaces","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Lightning of public spaces (High mast light tower) Shri Shyam Lal House","01-May-2025","240000","23-Jun-2025"
"10662","Normal/Others","WS/MP18304/2025-2026/195740-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Road and Pathway From gaglethi to chhoti","01-May-2025","200000","19-Jun-2025"
"10663","Repair and Renovation","WS/MP18304/2025-2026/195742-Development of playground","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Development of playfields and sports ground","01-May-2025","199789","10-Dec-2025"
"10664","Normal/Others","WS/MP18334/2025-2026/195795-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road from KM Palli Road  to P. Madhusudhan Reddy House at Veeraballi GP of Veeraballi Mandal","01-May-2025","246556","02-Jun-2025"
"10665","Normal/Others","WS/MP18334/2025-2026/195796-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing internal CC Road from R and B Road  to Basha House at Veeraballi GP of Veeraballi Mandal","01-May-2025","342405","02-Jun-2025"
"10666","Normal/Others","WS/MP18334/2025-2026/195797-Construction of buildings for community cultural activities","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Construction of New MPES Urdu School Building at Gollapalli of Nagireddipalli, Nandalur Mandal","01-May-2025","1400000","22-Jul-2025"
"10667","Normal/Others","WS/MP18334/2025-2026/195798-Providing drains and gutters for public drainage","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Construction of CC Drain from Vinayaka Temple to Vennapusa Vasantha Plot at Vengampalli South Village of Vengampalli GP of Anantha Sagaram Mandal","01-May-2025","462159","08-Jul-2025"
"10668","Normal/Others","WS/MP18334/2025-2026/195799-Providing drains and gutters for public drainage","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Construction of CC Drain from Ramalayam to Sana Subbareddy House of Kothuru Village of Vengampalli GP of Anantha Sagaram Mandal","01-May-2025","450990","08-Jul-2025"
"10669","Normal/Others","WS/MP18304/2025-2026/195808-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Contact paved road main road Padar to kavanti","01-May-2025","500000","24-Jul-2025"
"10670","Normal/Others","WS/MP18304/2025-2026/195814-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Link Road and Pathway near Shri Balber SO Shri Madan Lal","01-May-2025","200000","28-May-2025"
"10671","Normal/Others","WS/MP134/2025-2026/195815-Purchase of ambulances (Four, three and two wheelers)","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","Bus for Sanjeevani Express (Treatment of Dialysis patients) for District Headquarter Hospital, Baleshwar","01-May-2025","2900000","20-Sep-2025"
"10672","Normal/Others","WS/MP18304/2025-2026/195831-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path to Rajpura Phase-II","01-May-2025","200000","07-Jul-2025"
"10673","Normal/Others","WS/MP18304/2025-2026/195832-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road From Bhed to Thadi","01-May-2025","200000","30-May-2025"
"10674","Normal/Others","WS/MP18304/2025-2026/195833-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path Ambulance Road from Barour-II to Chaminu Phase-I","01-May-2025","250000","07-Jan-2026"
"10675","Normal/Others","WS/MP18304/2025-2026/195835-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road at hipli to guwad phase-II","01-May-2025","300000","04-Oct-2025"
"10676","Normal/Others","WS/MP18304/2025-2026/195836-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path Protection work Vill. Ramgarh to Tandaly","01-May-2025","200000","19-Jul-2025"
"10677","Normal/Others","WS/MP18304/2025-2026/195837-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance Road Main Road Badi Dehra to Ghuyali","01-May-2025","199800","07-Jul-2025"
"10678","Normal/Others","WS/MP18304/2025-2026/195839-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Protection Work Crate Work Ghuwali Raj Kumar house to Lower Daruni to Temple","01-May-2025","200000","07-Jul-2025"
"10679","Normal/Others","WS/MP18304/2025-2026/195840-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path Main Road to Nursery","01-May-2025","200000","19-Jun-2025"
"10680","Normal/Others","WS/MP18304/2025-2026/195841-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Flood Protection Work at Vill. Talai Dhadalu","01-May-2025","200000","15-Sep-2025"
"10681","Normal/Others","WS/MP18304/2025-2026/195842-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pucca Path Main road to Upper Guwad","01-May-2025","200000","19-Jun-2025"
"10682","Normal/Others","WS/MP001/2025-2026/195853-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","1R.E.O Road to Bhola Mahto House ,Arjun mahto house. Block Pandarak Panchyatd Dervebhadaur, Village Hariharpur,, District Patna","01-May-2025","1483339","19-May-2025"
"10683","Normal/Others","WS/MP001/2025-2026/195854-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","2Bhagirath house to Krishna Ram House. .BlockPandarakPanchyatd Dervebhadaur, Village Janpur, District Patna","01-May-2025","1484129","22-May-2025"
"10684","Normal/Others","WS/MP001/2025-2026/195855-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","Raja Jee House Ram Sharma jee houseBlockPandarakPanchyatdKhushalchak, Village Basavanchak ,District Patna","01-May-2025","1484483","19-May-2025"
"10685","Normal/Others","WS/MP847/2025-2026/195899-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","Led Semi High Mast Light (6LED) with 170-watt, 9 meter pole","02-May-2025","240944","09-Jun-2025"
