"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"9675","Normal/Others","WS/MP18304/2025-2026/190408-Construction of footpaths and pedestrian ways","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Footpath and pedestrian ways Panihar to Tipari","11-Apr-2025","02-May-2025","100000","Physical Inspection"
"9676","Normal/Others","WS/MP18304/2025-2026/190409-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Links Road and pathways Shadi Nala to maleh","11-Apr-2025","24-Jul-2025","100000","Work partially Completed"
"9677","Normal/Others","WS/MP18304/2025-2026/190410-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Links Road and pathways Bhard to Chari","11-Apr-2025","10-Jun-2025","100000","Work partially Completed"
"9678","Normal/Others","WS/MP18304/2025-2026/190411-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Ambulance  Road to village Mahori","11-Apr-2025","26-Jul-2025","100000","Vendor Identification"
"9679","Normal/Others","WS/MP18304/2025-2026/190413-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Flood control embankment  Bhattakufer koti to khashra no 19 Mauja Chakrayal","11-Apr-2025","10-Jun-2025","300000","Work Completed"
"9680","Normal/Others","WS/MP18304/2025-2026/190415-Construction of community centers and community halls","Himachal Pradesh","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of community hall Shri Vaishya Sabha Nahan","11-Apr-2025","04-Jun-2025","500000","Work partially Completed"
"9681","Normal/Others","WS/MP18304/2025-2026/190416-Development of playfields and sports grounds","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Development of playfields and sports ground Playground at Kharal","11-Apr-2025","25-Apr-2025","300000","Physical Inspection"
"9682","Normal/Others","WS/MP18304/2025-2026/190418-Construction of public libraries and reading rooms","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of room Saraswati Vidya Mandir","11-Apr-2025","20-Mar-2026","300000","Vendor Identification"
"9683","Normal/Others","WS/MP138/2025-2026/190463-Construction of public irrigation facilities","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC Drain with cover Slab end side development near Ganesh Temple in ward no- 5 under Udala NAC Udala Executive Agency ITDA Kaptipada Udala Distt Mayurbhanj","10-Apr-2025","20-Sep-2025","500000","Physical Inspection"
"9684","Normal/Others","WS/MP138/2025-2026/190464-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of CC Road from Khunta 300 seated boys hostel to class room in sana khunta  GP Ward No-6 Bardangua Mauza under GB Nagar Block Executive Agency ITDA Kaptipada Udala Distt. Mayurbhanj","10-Apr-2025","20-Sep-2025","500000","Physical Inspection"
"9685","Normal/Others","WS/MP138/2025-2026/190465-Construction of community centers and community halls","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Community Center Distt Jajpur Block Badachana Subdivision Jajpur GP Charinangal Ward No-18","10-Apr-2025","30-Aug-2025","600000","Sanction"
"9686","Normal/Others","WS/MP18403/2025-2026/190468-Construction of community centers and community halls","Gujarat","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Construction of community hall near vadi residential area","14-Apr-2025","13-Dec-2025","1000000","Sanction"
"9687","Normal/Others","WS/MP081/2025-2026/190472-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of PCC road in Misir Gonda area from kundan singh ji house towards vinay varma ji house","10-Apr-2025","02-May-2025","500000","Physical Inspection"
"9688","Normal/Others","WS/MP081/2025-2026/190473-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of PCC road in Booti area from keshav prabha mahto house towards fhagu prajapati house","10-Apr-2025","02-May-2025","500000","Vendor Identification"
"9689","Normal/Others","WS/MP18285/2025-2026/190484-Street lights","Rajasthan","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","For installing LED high mast lights at various places in district Pilibhit, Uttar Pradesh","10-Apr-2025","14-May-2025","4969990","Physical Inspection"
"9690","Normal/Others","WS/MP078/2025-2026/190485-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Link road with interlock from the house of Sh Uttam Chand to main road Jole to Joure Amb  Gram Panchayat Karsai Development Block Bijari District Hamirpur Executing agency BDO Bijari","10-Apr-2025","03-Jul-2025","100000","Physical Inspection"
"9691","Normal/Others","WS/MP078/2025-2026/190486-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Crematorium and burial Shamshan Ghat at Jharmani Piplu da Panga Village Goise SC Basti Development Block Nadaun District Hamirpur Himachal Pradesh Executing Agency BDO Nadaun","10-Apr-2025","24-May-2025","500000","Vendor Identification"
"9692","Normal/Others","WS/MP131/2025-2026/190497-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of All-weather road from Tulu Firm to Maa Rahitangi Temple, Malipada GP, Thana - Chandaka, Dist- Khurda","10-Apr-2025","18-Aug-2025","600000","Physical Inspection"
"9693","Repair and Renovation","WS/MP18364/2025-2026/190509-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and Renovation work of Government Model Primary School.","11-Apr-2025","16-Jun-2025","250000","Physical Inspection"
"9694","Repair and Renovation","WS/MP18364/2025-2026/190512-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Repair and Renovation work of Government Higher Primary School.","11-Apr-2025","09-Jun-2025","350000","Physical Inspection"
"9695","Normal/Others","WS/MP18364/2025-2026/190517-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Physical Inspection"
"9696","Normal/Others","WS/MP18364/2025-2026/190518-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Physical Inspection"
"9697","Normal/Others","WS/MP18364/2025-2026/190520-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Physical Inspection"
"9698","Normal/Others","WS/MP18364/2025-2026/190521-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Physical Inspection"
"9699","Normal/Others","WS/MP18364/2025-2026/190530-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction and installation of Drinking water plant.","11-Apr-2025","09-Jun-2025","320000","Work partially Completed"
"9700","Normal/Others","WS/MP094/2025-2026/190554-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Chengome Stadium Puliyam Kavu Road Concreting (ward 6), Kanichar Panjayath","11-Apr-2025","09-Jan-2026","803077","Physical Inspection"
"9701","Normal/Others","WS/MP094/2025-2026/190566-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Nellikkunnu Jawan Road Concreting (ward  6) kanichar GP","11-Apr-2025","09-Jan-2026","813754","Physical Inspection"
"9702","Normal/Others","WS/MP094/2025-2026/190570-Purchase of vans and buses for educational institutions","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Purchase of Bus for students of Govt. MEDICAL COLLEGE,  KANNUR","11-Apr-2025","13-Mar-2026","3500000","Physical Inspection"
"9703","Normal/Others","WS/MP166/2025-2026/190606-Construction of boundary walls of existing public and community buildings","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of Compound wall and cement road for the public Toilets at Ward No. 17, Varadhan Street, Rasipuram Municipality","11-Apr-2025","03-Nov-2025","450000","Physical Inspection"
"9704","Normal/Others","WS/MP101/2025-2026/190622-Construction of rooms and halls in school and colleges","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","construction of library building and purchase of related digital accessories t for sree chithira vilasam govt.L.P. school","11-Apr-2025","22-Apr-2025","1116680","Physical Inspection"
"9705","Normal/Others","WS/MP032/2025-2026/190649-Construction of rooms and halls in school and colleges","Andhra Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","Construction of new floor of the existing building of Netaji Subhash Chandra Bose Awasiya Vidyalayam, Bheemunipatnam.","11-Apr-2025","06-May-2025","8000000","Work partially Completed"
"9706","Repair and Renovation","WS/MP032/2025-2026/190650-Construction of rooms and halls in school and colleges","Andhra Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","Repairs of School classrooms of Mandal Parishad Primary School, RV Agarhal, Bheemunipatnam.","11-Apr-2025","06-May-2025","1500000","Work partially Completed"
"9707","Repair and Renovation","WS/MP032/2025-2026/190683-Construction of rooms and halls in school and colleges","Andhra Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","Repairs of School classrooms of Mandal Parishad Primary School, Somanpalle.","11-Apr-2025","06-May-2025","1500000","Work partially Completed"
"9708","Repair and Renovation","WS/MP032/2025-2026/190685-Construction of rooms and halls in school and colleges","Andhra Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","Construction and repairing of existing kitchen of Tribal Boys Hospitality Dormitory, Visakhapatnam.","11-Apr-2025","06-May-2025","2500000","Work partially Completed"
"9709","Normal/Others","WS/MP084/2025-2026/190707-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Construction of Cement Concrete Road (C C Road) at Kadabagere village, Dasanapura Hobli, Bengaluru North Taluk, Bengaluru Urban, Karnataka","12-Apr-2025","20-Jun-2025","4000000","Physical Inspection"
"9710","Normal/Others","WS/MP084/2025-2026/190708-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Construction of Cement Concrete Road (C C Road) at Kuduragere village, Dasanapura Hobli, Bengaluru North Taluk, Bengaluru Urban, Karnataka","12-Apr-2025","20-Jun-2025","3000000","Physical Inspection"
"9711","Normal/Others","WS/MP084/2025-2026/190709-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Construction of Cement Concrete Road (C C Road) at Heggadadevanapura village, Dasanapura Hobli, Bengaluru North Taluk, Bengaluru Urban, Karnataka","12-Apr-2025","20-Jun-2025","3000000","Physical Inspection"
"9712","Normal/Others","WS/MP096/2025-2026/190714-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Churangara Tharayil peedika prakuzhi road to Thalakkattoor churangara road or pathway Ward no 15 Ozhur Panchayat","12-Apr-2025","14-Jan-2026","818329","Physical Inspection"
"9713","Repair and Renovation","WS/MP096/2025-2026/190716-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Mulepadam  Alakkal  Vijaya puram road or pathway ward no 14 Chaliyar Panchayat","12-Apr-2025","14-Jan-2026","2412739","Physical Inspection"
